onset	duration	trial_type	value	sample
18.67578125	1.0	Target	2	9562
18.9140625	1.0	NonTarget	1	9684
19.298828125	1.0	NonTarget	1	9881
20.083984375	1.0	NonTarget	1	10283
20.302734375	1.0	NonTarget	1	10395
20.529296875	1.0	NonTarget	1	10511
21.052734375	1.0	Target	2	10779
21.953125	1.0	NonTarget	1	11240
22.431640625	1.0	NonTarget	1	11485
23.55078125	1.0	NonTarget	1	12058
23.751953125	1.0	NonTarget	1	12161
24.22265625	1.0	NonTarget	1	12402
25.841796875	1.0	NonTarget	1	13231
26.767578125	1.0	NonTarget	1	13705
27.00390625	1.0	NonTarget	1	13826
27.216796875	1.0	Target	2	13935
27.5234375	1.0	NonTarget	1	14092
27.716796875	1.0	NonTarget	1	14191
28.234375	1.0	NonTarget	1	14456
28.46484375	1.0	NonTarget	1	14574
28.796875	1.0	NonTarget	1	14744
29.1640625	1.0	Target	2	14932
29.615234375	1.0	NonTarget	1	15163
29.884765625	1.0	NonTarget	1	15301
31.251953125	1.0	NonTarget	1	16001
31.470703125	1.0	NonTarget	1	16113
31.6953125	1.0	NonTarget	1	16228
32.44921875	1.0	NonTarget	1	16614
32.634765625	1.0	Target	2	16709
33.064453125	1.0	NonTarget	1	16929
33.580078125	1.0	NonTarget	1	17193
34.3515625	1.0	NonTarget	1	17588
34.96484375	1.0	NonTarget	1	17902
35.162109375	1.0	NonTarget	1	18003
35.416015625	1.0	Target	2	18133
36.11328125	1.0	NonTarget	1	18490
44.470703125	1.0	NonTarget	1	22769
44.716796875	1.0	NonTarget	1	22895
45.6796875	1.0	Target	2	23388
45.89453125	1.0	NonTarget	1	23498
46.078125	1.0	NonTarget	1	23592
46.626953125	1.0	NonTarget	1	23873
47.1640625	1.0	NonTarget	1	24148
47.333984375	1.0	NonTarget	1	24235
47.666015625	1.0	NonTarget	1	24405
47.92578125	1.0	Target	2	24538
48.326171875	1.0	NonTarget	1	24743
48.763671875	1.0	NonTarget	1	24967
57.177734375	1.0	Target	2	29275
57.62890625	1.0	NonTarget	1	29506
58.41796875	1.0	NonTarget	1	29910
58.6640625	1.0	NonTarget	1	30036
59.1953125	1.0	NonTarget	1	30308
59.515625	1.0	NonTarget	1	30472
60.02734375	1.0	NonTarget	1	30734
60.986328125	1.0	NonTarget	1	31225
61.796875	1.0	NonTarget	1	31640
61.96875	1.0	NonTarget	1	31728
62.142578125	1.0	NonTarget	1	31817
62.345703125	1.0	Target	2	31921
63.673828125	1.0	NonTarget	1	32601
63.8984375	1.0	NonTarget	1	32716
64.17578125	1.0	Target	2	32858
65.099609375	1.0	NonTarget	1	33331
65.333984375	1.0	NonTarget	1	33451
65.5	1.0	NonTarget	1	33536
66.01171875	1.0	NonTarget	1	33798
66.41015625	1.0	NonTarget	1	34002
66.744140625	1.0	Target	2	34173
67.767578125	1.0	NonTarget	1	34697
68.029296875	1.0	NonTarget	1	34831
68.27734375	1.0	NonTarget	1	34958
76.66015625	1.0	Target	2	39250
76.9921875	1.0	NonTarget	1	39420
77.677734375	1.0	NonTarget	1	39771
78.162109375	1.0	NonTarget	1	40019
78.546875	1.0	NonTarget	1	40216
78.978515625	1.0	NonTarget	1	40437
79.509765625	1.0	Target	2	40709
79.9765625	1.0	NonTarget	1	40948
80.265625	1.0	NonTarget	1	41096
80.71484375	1.0	NonTarget	1	41326
81.83203125	1.0	NonTarget	1	41898
82.396484375	1.0	NonTarget	1	42187
90.810546875	1.0	Target	2	46495
91.044921875	1.0	NonTarget	1	46615
91.294921875	1.0	NonTarget	1	46743
91.52734375	1.0	NonTarget	1	46862
91.943359375	1.0	NonTarget	1	47075
92.341796875	1.0	NonTarget	1	47279
92.861328125	1.0	NonTarget	1	47545
93.05859375	1.0	NonTarget	1	47646
93.294921875	1.0	NonTarget	1	47767
93.564453125	1.0	NonTarget	1	47905
94.099609375	1.0	Target	2	48179
94.37890625	1.0	NonTarget	1	48322
95.6953125	1.0	NonTarget	1	48996
96.197265625	1.0	NonTarget	1	49253
96.89453125	1.0	NonTarget	1	49610
97.427734375	1.0	NonTarget	1	49883
97.708984375	1.0	NonTarget	1	50027
97.982421875	1.0	Target	2	50167
98.560546875	1.0	NonTarget	1	50463
98.7734375	1.0	NonTarget	1	50572
99.40234375	1.0	NonTarget	1	50894
99.7734375	1.0	Target	2	51084
100.8515625	1.0	NonTarget	1	51636
